# timestamp tx ty tz qx qy qz qw
1645102023.424428 3.7803319549966057 2.5058857606237517 1.4045603264336124 0.4574293563316585 0.6341961131791033 -0.4956238378623538 -0.37803481756677965
1645102023.431067 3.781729104418443 2.51148312128201 1.4062206000611932 0.45806873792505026 0.638366302115169 -0.4901387409639903 -0.37739250038071587
1645102023.437655 3.78179685273756 2.5122676929486523 1.4063890059608968 0.4608650014359756 0.6369256436276352 -0.49132633926497943 -0.3748696443733132
1645102023.4442291 3.7796583648032405 2.5174574318460263 1.4060221304697897 0.45630236321117484 0.6386547219288506 -0.4929520807767961 -0.37537477881772724
1645102023.450824 3.7767842156353777 2.5171723569850943 1.4038667072804858 0.45496398023112805 0.6344705306913956 -0.5014906799380952 -0.3727755556311653
1645102023.457427 3.776164416058297 2.523960826407391 1.405977498503241 0.45137599793556477 0.6391865327382467 -0.4964916931294519 -0.37576047636404086
1645102023.4640682 3.777157153901472 2.5264983998188026 1.4062617720881372 0.4546058827191778 0.6395172344851814 -0.49558577400205733 -0.37248567357369217
1645102023.470664 3.7762211151815146 2.5302287923195577 1.4063450569361995 0.45377788775132966 0.6403671193902767 -0.4946701224028153 -0.37325150739220825
1645102023.477222 3.7766304643605775 2.5323775349397746 1.4070865464220457 0.4556124295546279 0.6403586299480566 -0.4935280505574058 -0.37254238752784613
1645102023.483865 3.772322492573008 2.535524302101498 1.405328017652523 0.44857143338795635 0.6398417560319953 -0.501035797916512 -0.3719528699805083
1645102023.490475 3.773328463526166 2.5393406714499513 1.4064315484728243 0.4505272551012253 0.6412592450142085 -0.4969176517671332 -0.3726717109743324
1645102023.497082 3.7723669075931507 2.5429650435569324 1.4066659962809234 0.4486867151971329 0.6420899084563979 -0.4974845240976716 -0.3727057515797545
1645102023.503663 3.771211764442193 2.5457005736461515 1.4065445112535342 0.4470436974489313 0.6421194582457045 -0.4990203802711056 -0.372575966720339
1645102023.5102432 3.770209771678656 2.5486946280274605 1.4066211625916083 0.4460134632190446 0.6421812841860716 -0.4990922458669554 -0.37360634698897716
1645102023.516864 3.7692159739371345 2.551861057346959 1.4066543466979304 0.4443617944644502 0.6427397385617666 -0.4999845821263949 -0.37342095770368583
1645102023.523445 3.7654634170217105 2.5551868089836574 1.4055609100481066 0.43743981165239226 0.639981499746345 -0.5039862894966298 -0.38087737803942207
1645102023.530066 3.7671220976569675 2.5560713129167536 1.4062993916728166 0.4431540832415121 0.6408441137047453 -0.5029856018513104 -0.37408337460080543
1645102023.5366411 3.7663283690565375 2.5609906713907318 1.4069421836116582 0.44075231337327814 0.6436802975171038 -0.5011491304005505 -0.3745159231879555
1645102023.5499141 3.764320393306712 2.5669570047215178 1.4070378919352755 0.4386209345843342 0.6439520693319208 -0.5022462552337004 -0.37508095461466734
1645102023.5564249 3.7614095794008264 2.5685512321391495 1.4059003794382758 0.4361780725296831 0.6412076660558599 -0.5063944753238433 -0.37704860610087826
1645102023.5630322 3.762179130849787 2.572749003207073 1.4069838237921828 0.43694820292292474 0.6440148314532025 -0.5028572891796742 -0.37610540208364746
1645102023.569669 3.761098971619235 2.57566048009468 1.4070953805895314 0.43585982431206 0.6440189412792375 -0.5038839706960108 -0.37598725487907075
1645102023.582871 3.758927278680417 2.5811009719179565 1.4071418338355526 0.43435237249855657 0.643960988825759 -0.5054550601747236 -0.37572214765587064
1645102023.589447 3.757873519066368 2.582665326359677 1.4078029519885797 0.4340090928612698 0.6435836763109158 -0.505542037194635 -0.37664704921308423
1645102023.6027148 3.756011978382046 2.588382576036445 1.4078126415979941 0.4324354731366165 0.6437329523783407 -0.5077870364062094 -0.3751790959599509
1645102023.6158662 3.752662577552816 2.590133668793528 1.4063144409510921 0.42943637525136896 0.6412260271969612 -0.5130140349615443 -0.3758054710659393
1645102023.622441 3.750252173961293 2.5927115770289877 1.4059534579491417 0.42580309671977545 0.6414003366446773 -0.51600085997803 -0.37555302448416245
1645102023.62908 3.75024916030776 2.59528652344499 1.4065005740037442 0.4271704141705577 0.641243603509402 -0.5150803509973431 -0.3755314450324113
1645102023.635665 3.74787063138228 2.5974228611077526 1.4061684141884747 0.4239110706473339 0.6411065194417195 -0.5185089441524607 -0.3747398473311311
1645102023.642266 3.7477293907816276 2.6002680074064948 1.4067087609287754 0.42502743065134835 0.6411642496368016 -0.5171246640870936 -0.3752890017197128
1645102023.648863 3.7462395588603314 2.6027062216920833 1.4068107553230234 0.4236578240377671 0.6411975812144636 -0.5183850540812713 -0.3750416325062754
1645102023.655468 3.7448090677593164 2.6054590235137036 1.4069413164903324 0.4222662895950456 0.6413498603772662 -0.5190005305876898 -0.37549906934482824
1645102023.662028 3.7435286381060813 2.6074518907867055 1.4070349077949145 0.4215887434015417 0.6409708498478313 -0.5205540271707013 -0.3747564132233831
1645102023.668632 3.741268347146533 2.6100019808609773 1.4071618694103907 0.4182915403655169 0.6411091132897304 -0.5221653987220592 -0.3759709852806292
1645102023.675266 3.7407071853040743 2.6124564277968663 1.4073347098794662 0.4194114994865286 0.6411515838480377 -0.521957103796497 -0.37493873797051475
1645102023.6818728 3.7386706756823584 2.614345857663073 1.407570038273569 0.4169858693482352 0.640836640080338 -0.5240695617241045 -0.37523574805490884
1645102023.688472 3.7370714907965676 2.6168393936137924 1.4076609105991746 0.41557693680369284 0.641244535562779 -0.5249193529807128 -0.374913982450929
1645102023.695074 3.735471871277995 2.6187963830964596 1.4075182849501897 0.41490634166277834 0.641318625457846 -0.5267463058768818 -0.37296257868931393
1645102023.701625 3.7342593192767426 2.621222954168687 1.4081018625727473 0.41413471483630265 0.6414484600137332 -0.5263900135904807 -0.3740981579517945
1645102023.708231 3.7305172308319756 2.6230649691083214 1.407200716460846 0.40908428772362265 0.6392073063527144 -0.5314848897755126 -0.3762811159703909
1645102023.714827 3.732141016500148 2.625625637149329 1.4085951561764625 0.4146009696074823 0.6420398249028328 -0.5270356478197595 -0.3716502847828274
1645102023.721431 3.729568142919993 2.6273929049171523 1.4084126882933239 0.4117311792075463 0.6421411926823788 -0.5300934217549588 -0.3703143705526249
1645102023.728055 3.7279812833136745 2.629427609708433 1.4086318683826449 0.4110034715671346 0.642156568602487 -0.5309952827586976 -0.3698035181265967
